passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
1284,0.0,LAX,DTLA
1285,30.0,LAX,DTLA
1286,58.0,LAX,DTLA
1287,67.0,LAX,DTLA
1288,82.0,LAX,DTLA
0,275.0,DTLA,LAX
1,303.0,DTLA,LAX
1289,325.0,LAX,DTLA
2,338.0,DTLA,LAX
1290,393.0,LAX,DTLA
1291,437.0,LAX,DTLA
1292,584.0,LAX,DTLA
1293,585.0,LAX,DTLA
1294,818.0,LAX,DTLA
1295,835.0,LAX,DTLA
1296,842.0,LAX,DTLA
1297,905.0,LAX,DTLA
3,942.0,DTLA,LAX
4,948.0,DTLA,LAX
1298,1126.0,LAX,DTLA
1299,1182.0,LAX,DTLA
1300,1434.0,LAX,DTLA
1301,1469.0,LAX,DTLA
1302,1601.0,LAX,DTLA
1303,1622.0,LAX,DTLA
1304,1704.0,LAX,DTLA
1305,1792.0,LAX,DTLA
1306,1820.0,LAX,DTLA
1307,1848.0,LAX,DTLA
1308,1967.0,LAX,DTLA
1309,1980.0,LAX,DTLA
1310,1981.0,LAX,DTLA
1311,1981.0,LAX,DTLA
1312,2010.0,LAX,DTLA
1313,2030.0,LAX,DTLA
1314,2047.0,LAX,DTLA
1315,2057.0,LAX,DTLA
1316,2062.0,LAX,DTLA
1317,2080.0,LAX,DTLA
1318,2086.0,LAX,DTLA
1319,2119.0,LAX,DTLA
1320,2158.0,LAX,DTLA
1321,2179.0,LAX,DTLA
5,2191.0,DTLA,LAX
1322,2332.0,LAX,DTLA
1323,2491.0,LAX,DTLA
1324,2523.0,LAX,DTLA
1325,2615.0,LAX,DTLA
1326,2708.0,LAX,DTLA
1327,2713.0,LAX,DTLA
1328,2742.0,LAX,DTLA
1329,2993.0,LAX,DTLA
1330,2993.0,LAX,DTLA
1331,3124.0,LAX,DTLA
1332,3255.0,LAX,DTLA
1333,3279.0,LAX,DTLA
1334,3353.0,LAX,DTLA
1335,3781.0,LAX,DTLA
1336,4496.0,LAX,DTLA
1337,4591.0,LAX,DTLA
1338,5557.0,LAX,DTLA
1339,5596.0,LAX,DTLA
1340,5693.0,LAX,DTLA
1341,5741.0,LAX,DTLA
6,7505.0,DTLA,LAX
1342,7917.0,LAX,DTLA
1343,8035.0,LAX,DTLA
1344,8177.0,LAX,DTLA
7,8331.0,DTLA,LAX
8,9713.0,DTLA,LAX
9,9878.0,DTLA,LAX
10,10203.0,DTLA,LAX
11,10746.0,DTLA,LAX
12,11286.0,DTLA,LAX
13,11371.0,DTLA,LAX
14,11846.0,DTLA,LAX
15,11865.0,DTLA,LAX
16,11930.0,DTLA,LAX
17,11933.0,DTLA,LAX
18,12544.0,DTLA,LAX
19,12703.0,DTLA,LAX
20,12723.0,DTLA,LAX
21,13034.0,DTLA,LAX
22,13044.0,DTLA,LAX
23,13047.0,DTLA,LAX
24,13089.0,DTLA,LAX
25,13105.0,DTLA,LAX
26,13247.0,DTLA,LAX
27,13289.0,DTLA,LAX
28,13545.0,DTLA,LAX
29,13590.0,DTLA,LAX
30,13622.0,DTLA,LAX
31,13653.0,DTLA,LAX
32,13670.0,DTLA,LAX
33,13722.0,DTLA,LAX
34,13734.0,DTLA,LAX
35,13777.0,DTLA,LAX
36,13779.0,DTLA,LAX
37,14084.0,DTLA,LAX
38,14306.0,DTLA,LAX
39,14313.0,DTLA,LAX
40,14326.0,DTLA,LAX
41,14362.0,DTLA,LAX
42,14457.0,DTLA,LAX
43,14486.0,DTLA,LAX
44,14487.0,DTLA,LAX
45,14501.0,DTLA,LAX
46,14501.0,DTLA,LAX
47,14591.0,DTLA,LAX
48,14593.0,DTLA,LAX
49,14617.0,DTLA,LAX
50,14619.0,DTLA,LAX
51,14634.0,DTLA,LAX
52,14695.0,DTLA,LAX
53,14972.0,DTLA,LAX
54,15032.0,DTLA,LAX
55,15042.0,DTLA,LAX
56,15096.0,DTLA,LAX
57,15164.0,DTLA,LAX
1345,15195.0,LAX,DTLA
58,15238.0,DTLA,LAX
59,15307.0,DTLA,LAX
60,15345.0,DTLA,LAX
61,15372.0,DTLA,LAX
62,15436.0,DTLA,LAX
63,15484.0,DTLA,LAX
64,15486.0,DTLA,LAX
1346,15587.0,LAX,DTLA
65,15623.0,DTLA,LAX
1347,15625.0,LAX,DTLA
66,15635.0,DTLA,LAX
1348,15718.0,LAX,DTLA
67,15743.0,DTLA,LAX
68,15789.0,DTLA,LAX
69,15827.0,DTLA,LAX
70,16035.0,DTLA,LAX
71,16037.0,DTLA,LAX
72,16052.0,DTLA,LAX
73,16245.0,DTLA,LAX
74,16352.0,DTLA,LAX
75,16500.0,DTLA,LAX
76,16564.0,DTLA,LAX
77,16669.0,DTLA,LAX
78,16741.0,DTLA,LAX
79,16744.0,DTLA,LAX
80,16754.0,DTLA,LAX
81,16855.0,DTLA,LAX
82,16879.0,DTLA,LAX
83,16920.0,DTLA,LAX
84,17032.0,DTLA,LAX
85,17150.0,DTLA,LAX
86,17203.0,DTLA,LAX
87,17281.0,DTLA,LAX
88,17372.0,DTLA,LAX
89,17374.0,DTLA,LAX
90,17382.0,DTLA,LAX
91,17460.0,DTLA,LAX
92,17467.0,DTLA,LAX
93,17564.0,DTLA,LAX
94,17588.0,DTLA,LAX
95,17594.0,DTLA,LAX
96,17603.0,DTLA,LAX
97,17637.0,DTLA,LAX
98,17693.0,DTLA,LAX
99,17783.0,DTLA,LAX
100,17815.0,DTLA,LAX
101,17864.0,DTLA,LAX
