passenger_id,passenger_arrival_time,origin_vertiport_id,destination_vertiport_id
1338,0.0,LAX,DTLA
1339,39.0,LAX,DTLA
1340,141.0,LAX,DTLA
0,179.0,DTLA,LAX
1341,243.0,LAX,DTLA
1342,282.0,LAX,DTLA
1343,381.0,LAX,DTLA
1344,589.0,LAX,DTLA
1345,592.0,LAX,DTLA
1346,654.0,LAX,DTLA
1347,702.0,LAX,DTLA
1348,735.0,LAX,DTLA
1349,803.0,LAX,DTLA
1350,1444.0,LAX,DTLA
1351,1653.0,LAX,DTLA
1352,1660.0,LAX,DTLA
1353,1676.0,LAX,DTLA
1354,1680.0,LAX,DTLA
1355,1828.0,LAX,DTLA
1356,1939.0,LAX,DTLA
1357,1947.0,LAX,DTLA
1358,1960.0,LAX,DTLA
1359,1974.0,LAX,DTLA
1360,2008.0,LAX,DTLA
1,2478.0,DTLA,LAX
1361,2593.0,LAX,DTLA
1362,2644.0,LAX,DTLA
1363,2659.0,LAX,DTLA
2,2752.0,DTLA,LAX
3,2785.0,DTLA,LAX
4,2986.0,DTLA,LAX
1364,3119.0,LAX,DTLA
1365,3262.0,LAX,DTLA
1366,3317.0,LAX,DTLA
1367,3729.0,LAX,DTLA
1368,4035.0,LAX,DTLA
1369,4248.0,LAX,DTLA
1370,4308.0,LAX,DTLA
1371,4883.0,LAX,DTLA
1372,4883.0,LAX,DTLA
5,5094.0,DTLA,LAX
1373,5666.0,LAX,DTLA
6,5697.0,DTLA,LAX
1374,5838.0,LAX,DTLA
1375,5925.0,LAX,DTLA
1376,5983.0,LAX,DTLA
1377,6105.0,LAX,DTLA
1378,6179.0,LAX,DTLA
1379,6185.0,LAX,DTLA
1380,6212.0,LAX,DTLA
1381,7056.0,LAX,DTLA
1382,7060.0,LAX,DTLA
7,7559.0,DTLA,LAX
8,8331.0,DTLA,LAX
1383,9376.0,LAX,DTLA
9,9952.0,DTLA,LAX
10,10203.0,DTLA,LAX
11,10272.0,DTLA,LAX
12,10432.0,DTLA,LAX
13,10892.0,DTLA,LAX
14,11338.0,DTLA,LAX
15,11428.0,DTLA,LAX
16,11435.0,DTLA,LAX
17,11547.0,DTLA,LAX
18,11717.0,DTLA,LAX
19,11732.0,DTLA,LAX
20,11830.0,DTLA,LAX
21,12213.0,DTLA,LAX
22,12237.0,DTLA,LAX
23,12242.0,DTLA,LAX
24,12258.0,DTLA,LAX
25,12260.0,DTLA,LAX
26,12275.0,DTLA,LAX
27,12613.0,DTLA,LAX
28,12724.0,DTLA,LAX
29,12919.0,DTLA,LAX
30,13006.0,DTLA,LAX
31,13141.0,DTLA,LAX
32,13265.0,DTLA,LAX
33,13298.0,DTLA,LAX
34,13401.0,DTLA,LAX
35,13445.0,DTLA,LAX
36,13445.0,DTLA,LAX
37,13492.0,DTLA,LAX
38,13501.0,DTLA,LAX
39,13575.0,DTLA,LAX
40,13652.0,DTLA,LAX
41,13678.0,DTLA,LAX
