,time,passenger_id,latitude,longitude,altitude,location,event
0,1686873638000,passenger1477,33.9473393894643,-118.373647676473,0.0,LAX_ENTRANCE,vertiport_entrance
1,1686873638001,passenger1477,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,enter_waiting_room
2,1686873664000,passenger1478,33.9473393894643,-118.373647676473,0.0,LAX_ENTRANCE,vertiport_entrance
3,1686873664001,passenger1478,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,enter_waiting_room
4,1686873724000,passenger0,34.0451687891313,-118.267117147371,203.3,DTLA_ENTRANCE,vertiport_entrance
5,1686873724001,passenger0,34.0454786058159,-118.267186139885,203.3,DTLA_ROOM,enter_waiting_room
6,1686873765000,passenger1479,33.9473393894643,-118.373647676473,0.0,LAX_ENTRANCE,vertiport_entrance
7,1686873765001,passenger1479,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,enter_waiting_room
8,1686873789000,passenger1480,33.9473393894643,-118.373647676473,0.0,LAX_ENTRANCE,vertiport_entrance
9,1686873789001,passenger1480,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,enter_waiting_room
10,1686873789002,passenger1477,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,passenger_consolidation
11,1686873789003,passenger1478,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,passenger_consolidation
12,1686873789004,passenger1479,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,passenger_consolidation
13,1686873789005,passenger1480,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,passenger_consolidation
14,1686873789006,passenger1477,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,flight_assignment
15,1686873789007,passenger1478,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,flight_assignment
16,1686873789008,passenger1479,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,flight_assignment
17,1686873789009,passenger1480,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,flight_assignment
18,1686873789010,passenger1477,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,boarding_start
19,1686873789011,passenger1478,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,boarding_start
20,1686873789012,passenger1479,33.9471955065246,-118.37445960086,0.0,LAX_ROOM,boarding_start
